race_slug,race_id,driver_id,finishing_position,starting_position,car_number,status,laps,notes
2002-larry-detjens-memorial,,11210,9,,,,,
2002-larry-detjens-memorial,,15732,10,,,,,
2002-larry-detjens-memorial,,10667,11,,,,,
2002-larry-detjens-memorial,,5869,12,,,,,
2002-larry-detjens-memorial,,18245,13,,,,,
2002-larry-detjens-memorial,,4481,14,,,,,
2002-larry-detjens-memorial,,4194,15,,,,,
2002-larry-detjens-memorial,,22477,16,,,,,
2002-larry-detjens-memorial,,15866,17,,,,,
2002-larry-detjens-memorial,,7473,18,,,,,
2002-larry-detjens-memorial,,11096,19,,,,,
2002-larry-detjens-memorial,,3355,20,,,,,
2002-larry-detjens-memorial,,23689,21,,,,,
2002-larry-detjens-memorial,,8715,22,,,,,
2002-north-american-cup,,10910,1,,,,,
2002-north-american-cup,,14363,2,,,,,
2002-north-american-cup,,11007,3,,,,,
2002-north-american-cup,,14762,4,,,,,
2002-north-american-cup,,18118,5,,,,,
2002-north-american-cup,,4200,6,,,,,
2002-north-american-cup,,603,7,,,,,
2002-north-american-cup,,8230,8,,,,,
2002-north-american-cup,,11360,9,,,,,
2002-north-american-cup,,8079,10,,,,,
2002-north-american-cup,,22477,11,,,,,
2002-north-american-cup,,11210,12,,,,,
2002-north-american-cup,,10667,13,,,,,
2002-north-american-cup,,14573,14,,,,,
2002-north-american-cup,,3880,15,,,,,
2002-north-american-cup,,8526,16,,,,,
2002-north-american-cup,,19001,17,,,,,
2002-north-american-cup,,5276,18,,,,,
2002-north-american-cup,,23095,19,,,,,
2002-north-american-cup,,14187,20,,,,,
2002-north-american-cup,,5869,21,,,,,
2002-north-american-cup,,13983,22,,,,,
2002-north-american-cup,,7419,23,,,,,
2002-legends-75,,11096,1,,,,,
2002-legends-75,,8715,2,,,,,
2002-legends-75,,516,3,,,,,
2002-legends-75,,11210,4,,,,,
2002-legends-75,,15866,5,,,,,
2002-legends-75,,14187,6,,,,,
2002-legends-75,,14762,7,,,,,
