source_series_slug,source_season_year,source_race_number,source_url,race_date,track_name,track_slug,class_name,event_slug,finishing_position,driver_name_raw,driver_name_clean,driver_slug_guess,matched_driver_id,matched_driver_name,match_status,notes
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,7,"Rich Schumann, Jr.","Rich Schumann, Jr.",rich-schumann-jr,19001,"Rich Schumann, Jr.",matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,8,Gary Back,Gary Back,gary-back,8715,Gary Back,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,9,Kevin Peterson,Kevin Peterson,kevin-peterson,14484,Kevin Peterson WI,alias_matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,10,Tony Strupp,Tony Strupp,tony-strupp,23035,Tony Strupp,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,11,Benjamin Brinkman,Benjamin Brinkman,benjamin-brinkman,1124,Benjamin Brinkman,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,12,Jeff Weinfurter,Jeff Weinfurter,jeff-weinfurter,11096,Jeff Weinfurter,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,13,Matt Kocourek,Matt Kocourek,matt-kocourek,16295,Matt Kocourek,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,14,Burton Brown,Burton Brown,burton-brown,3355,Burton Brown,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,15,Rick Corso,Rick Corso,rick-corso,19122,Rick Corso,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,16,Scott Beyer,Scott Beyer,scott-beyer,null,Scott Beyer,matched,
