race_date,track_id,class_id,race_status,slug,year,is_published,event_name,source_series_slug,source_race_number
2007-07-27,69,,completed,2007-mccain-food-sands-100,2007,true,2007-mccain-food-sands-100,wisconsin-challenge-series,9
2007-09-07,31,,completed,2007-tribute-to-america-100,2007,true,2007-tribute-to-america-100,wisconsin-challenge-series,10
2007-09-15,119,,completed,2007-championship-80,2007,true,2007-championship-80,wisconsin-challenge-series,11
2008-05-26,69,,completed,2008-memorial-100,2008,true,2008-memorial-100,wisconsin-challenge-series,1
2008-06-14,217,,completed,2008-red-race,2008,true,2008-red-race,wisconsin-challenge-series,2
2008-07-05,49,,completed,2008-north-american-cup,2008,true,2008-north-american-cup,wisconsin-challenge-series,3
2008-07-19,217,,completed,2008-white-race,2008,true,2008-white-race,wisconsin-challenge-series,4
2008-08-01,69,,completed,2008-larry-detjens-memorial,2008,true,2008-larry-detjens-memorial,wisconsin-challenge-series,5
2008-08-23,119,,completed,2008-waxx-104-5-budweiser-80,2008,true,2008-waxx-104-5-budweiser-80,wisconsin-challenge-series,6
2009-05-25,69,,completed,2009-memorial-100-wcs,2009,true,2009-memorial-100-wcs,wisconsin-challenge-series,1
2009-06-13,119,,completed,2009-nasonville-dairy-webers-farm-store-80,2009,true,2009-nasonville-dairy-webers-farm-store-80,wisconsin-challenge-series,2
2009-07-04,49,,completed,2009-north-american-cup-sponsored-by-3d-construction-and-great-lakes-components,2009,true,2009-north-american-cup-sponsored-by-3d-construction-and-great-lakes-components,wisconsin-challenge-series,3
2009-07-31,69,,completed,2009-larry-detjens-memorial,2009,true,2009-larry-detjens-memorial,wisconsin-challenge-series,4
2009-09-13,119,,completed,2009-wcs-championship-80,2009,true,2009-wcs-championship-80,wisconsin-challenge-series,5
2017-06-01,193,,completed,wcs-2017-01,2017,true,wcs-2017-01,wisconsin-challenge-series,1
2017-06-24,49,,completed,wcs-2017-02,2017,true,wcs-2017-02,wisconsin-challenge-series,2
2017-07-14,69,,completed,wcs-2017-03,2017,true,wcs-2017-03,wisconsin-challenge-series,3
2017-08-19,119,,completed,wcs-2017-04,2017,true,wcs-2017-04,wisconsin-challenge-series,4
2018-06-28,193,,completed,wcs-2018-01,2018,true,wcs-2018-01,wisconsin-challenge-series,1
2018-07-04,69,,completed,2018-wegner-motorsports-75-presented-by-ho-chunk-gaming,2018,true,2018-wegner-motorsports-75-presented-by-ho-chunk-gaming,wisconsin-challenge-series,2
2018-08-11,119,,completed,wcs-2018-03,2018,true,wcs-2018-03,wisconsin-challenge-series,3
2018-09-08,49,,completed,wcs-2018-04,2018,true,wcs-2018-04,wisconsin-challenge-series,4
2019-06-06,193,,completed,wcs-2019-01,2019,true,wcs-2019-01,wisconsin-challenge-series,1
2019-07-13,119,,completed,wcs-2019-02,2019,true,wcs-2019-02,wisconsin-challenge-series,2
2019-08-09,69,,completed,wcs-2019-03,2019,true,wcs-2019-03,wisconsin-challenge-series,3
