series_event_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
257,2,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
257,3,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
257,4,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
257,5,,,8715,Gary Back,gary-back,,,,,,,feature,
257,6,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
257,7,,,516,Allen Check,allen-check,,,,,,,feature,
257,8,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
257,9,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
257,10,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
257,11,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
257,12,,,13668,Judd Brandl,judd-brandl,,,,,,,feature,
257,13,,,8535,Frank Nitzke,frank-nitzke,,,,,,,feature,
257,14,,,8381,"Eugene Gregorich, Jr.",eugene-gregorich-jr,,,,,,,feature,
257,15,,,3355,Burton Brown,burton-brown,,,,,,,feature,
257,16,,,13732,Justin Hirt,justin-hirt,,,,,,,feature,
257,17,,,18245,Pete Kempf,pete-kempf,,,,,,,feature,
257,18,,,23301,Troy Nelson,troy-nelson,,,,,,,feature,
257,19,,,2665,Brandon Selle,brandon-selle,,,,,,,feature,
257,20,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
257,21,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
257,22,,,19001,"Rich Schumann, Jr.",rich-schumann-jr,,,,,,,feature,
257,23,,,5869,Dave Gawronski,dave-gawronski,,,,,,,feature,
258,1,,,8715,Gary Back,gary-back,,,,,,,feature,
258,2,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
258,3,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
258,4,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
258,5,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
258,6,,,13890,Keith Bohmsach,keith-bohmsach,,,,,,,feature,
258,7,,,516,Allen Check,allen-check,,,,,,,feature,
258,8,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
258,9,,,13668,Judd Brandl,judd-brandl,,,,,,,feature,
258,10,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
258,11,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
258,12,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
258,13,,,6384,Dean Lapointe,dean-lapointe,,,,,,,feature,
258,14,,,8535,Frank Nitzke,frank-nitzke,,,,,,,feature,
258,15,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
258,16,,,8381,"Eugene Gregorich, Jr.",eugene-gregorich-jr,,,,,,,feature,
258,17,,,3355,Burton Brown,burton-brown,,,,,,,feature,
258,18,,,18245,Pete Kempf,pete-kempf,,,,,,,feature,
258,19,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
258,20,,,12161,"Jim Sauter, Jr.",jim-sauter-jr,,,,,,,feature,
258,21,,,13732,Justin Hirt,justin-hirt,,,,,,,feature,
258,22,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
259,1,,,20921,Scott Wimmer,scott-wimmer,,,,,,,feature,
259,2,,,23695,Wayne Cottrell,wayne-cottrell,,,,,,,feature,
259,3,,,15955,Mark Mackesy,mark-mackesy,,,,,,,feature,
259,4,,,4200,Chris Wimmer,chris-wimmer,,,,,,,feature,
259,5,,,516,Allen Check,allen-check,,,,,,,feature,
259,6,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
259,7,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
259,8,,,13732,Justin Hirt,justin-hirt,,,,,,,feature,
259,9,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
259,10,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
259,11,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
259,12,,,5869,Dave Gawronski,dave-gawronski,,,,,,,feature,
259,13,,,18245,Pete Kempf,pete-kempf,,,,,,,feature,
259,14,,,4481,Clint Sillars,clint-sillars,,,,,,,feature,
259,15,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
259,16,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
259,17,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
259,18,,,7473,Donnie Woller,donnie-woller,,,,,,,feature,
259,19,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
259,20,,,3355,Burton Brown,burton-brown,,,,,,,feature,
259,21,,,23689,Wayne Breitenfeldt,wayne-breitenfeldt,,,,,,,feature,
259,22,,,8715,Gary Back,gary-back,,,,,,,feature,
260,1,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
260,2,,,14363,Kevin Brescia,kevin-brescia,,,,,,,feature,
260,3,,,11007,Jeff Richards,jeff-richards,,,,,,,feature,
260,4,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
260,5,,,18118,Paul Menard,paul-menard,,,,,,,feature,
260,6,,,4200,Chris Wimmer,chris-wimmer,,,,,,,feature,
260,7,,,603,Andrew Morrissey,andrew-morrissey,,,,,,,feature,
260,8,,,8230,Eric Hammond,eric-hammond,,,,,,,feature,
260,9,,,11360,Jerry Gille,jerry-gille,,,,,,,feature,
