series_slug,series_name,season_year,race_number,race_date,race_date_raw,race_name,race_url,track_display,track_url,winner_name,winner_url,source_file
wisconsin-challenge-series,Wisconsin Challenge Series,2003,9,2003-08-18,18 August 2003,9,https://www.thethirdturn.com/wiki/2003_Geneva_Challenge_100,"Lake Geneva, WI",https://www.thethirdturn.com/wiki/Lake_Geneva_Raceway,Erik Darnell,https://www.thethirdturn.com/wiki/Erik_Darnell,2003_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2003,10,2003-09-05,5 September 2003,10,https://www.thethirdturn.com/wiki/2003_Championship_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Jeff Weinfurter,https://www.thethirdturn.com/wiki/Jeff_Weinfurter,2003_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2004,1,2004-04-10,10 April 2004,1,https://www.thethirdturn.com/wiki/2004_Spring_Thaw_100,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Erik Darnell,https://www.thethirdturn.com/wiki/Erik_Darnell,2004_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2004,2,2004-05-31,31 May 2004,2,https://www.thethirdturn.com/wiki/2004_Memorial_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Charlie Menard,https://www.thethirdturn.com/wiki/Charlie_Menard,2004_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2004,3,2004-06-06,6 June 2004,3,https://www.thethirdturn.com/wiki/2004_First_Supply_100,"Cambridge, WI",https://www.thethirdturn.com/wiki/Jefferson_Speedway,Jason Schuler,https://www.thethirdturn.com/wiki/Jason_Schuler,2004_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2004,4,2004-06-19,19 June 2004,4,https://www.thethirdturn.com/wiki/2004_Thomas_Electric_75,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Adam Royle,https://www.thethirdturn.com/wiki/Adam_Royle,2004_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2004,5,2004-07-25,25 July 2004,5,https://www.thethirdturn.com/wiki/2004_Creek_Classic_100,"Francis Creek, WI",https://www.thethirdturn.com/wiki/141_Speedway,Adam Royle,https://www.thethirdturn.com/wiki/Adam_Royle,2004_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2004,6,2004-07-30,30 July 2004,6,https://www.thethirdturn.com/wiki/2004_Sands_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Charlie Menard,https://www.thethirdturn.com/wiki/Charlie_Menard,2004_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2004,7,2004-08-15,15 August 2004,7,https://www.thethirdturn.com/wiki/2004_Spring_Fling_Redeux,"Columbus, WI",https://www.thethirdturn.com/wiki/Columbus_151_Speedway,Mark Eswein,https://www.thethirdturn.com/wiki/Mark_Eswein,2004_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2004,8,2004-09-11,11 September 2004,8,https://www.thethirdturn.com/wiki/2004_Rainbow_Bingo_%26_Casino_Championship_80,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Terry Baldry,https://www.thethirdturn.com/wiki/Terry_Baldry,2004_wisconsin_challenge_series.html
