source_track_name,source_track_slug,resolved_track_id,resolved_track_name,resolved_track_slug
Golden Sands Raceway,golden-sands-raceway-wi,69,Golden Sands Speedway,golden-sands-speedway-wi
Dells Raceway Park,dells-raceway-park-wi,49,Dells Motor Speedway,dells-motor-speedway-wi
Marshfield Motor Speedway,marshfield-motor-speedway-wi,119,Marshfield Super Speedway,marshfield-super-speedway-wi
Madison International Speedway,madison-international-speedway-wi,31,Capital Super Speedway,capital-super-speedway-wi
