unknown_file,unknown_file_name,best_distance,best_confidence,match_1_distance,match_1_file_name,match_1_track_slug,match_1_year,match_1_driver_slug,match_1_photographer_slug,match_2_distance,match_2_file_name,match_2_track_slug,match_2_year,match_2_driver_slug,match_2_photographer_slug,match_3_distance,match_3_file_name,match_3_track_slug,match_3_year,match_3_driver_slug,match_3_photographer_slug,match_4_distance,match_4_file_name,match_4_track_slug,match_4_year,match_4_driver_slug,match_4_photographer_slug,match_5_distance,match_5_file_name,match_5_track_slug,match_5_year,match_5_driver_slug,match_5_photographer_slug,suggested_track_slug,suggested_year,suggested_driver_slug,suggested_photographer_slug,review_action,final_track_slug,final_year,final_driver_slug,final_photographer_slug,final_file_name,notes
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10071.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10071.jpg,4,very_high_near_duplicate,4,141-speedway_unknown-year_bill-johnson-jr_joe-slack_photo_001.jpg,141-speedway,unknown-year,bill-johnson-jr,joe-slack,51,141-speedway_unknown-year_tom-johnson_joe-slack_photo_001.jpg,141-speedway,unknown-year,tom-johnson,joe-slack,52,141-speedway_unknown-year_randy-sippel_joe-slack_photo_001.jpg,141-speedway,unknown-year,randy-sippel,joe-slack,57,beaver-dam-raceway_unknown-year_fuzzy-fassbender_joe-slack_photo_001.jpg,beaver-dam-raceway,unknown-year,fuzzy-fassbender,joe-slack,59,141-speedway_unknown-year_bill-drumm_joe-verdegan_post_001.jpg,141-speedway,unknown-year,bill-drumm,joe-verdegan,141-speedway,unknown-year,bill-johnson-jr,joe-slack,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10073.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10073.jpg,12,high_possible_duplicate,12,141-speedway_unknown-year_butch-wondra_joe-slack_photo_001.jpg,141-speedway,unknown-year,butch-wondra,joe-slack,64,141-speedway_unknown-year_russ-keberlein_joe-slack_photo_001.jpg,141-speedway,unknown-year,russ-keberlein,joe-slack,64,141-speedway_unknown-year_speedway-sportsman-joe-slack-phot_joe-slack_photo_001.jpg,141-speedway,unknown-year,speedway-sportsman-joe-slack-phot,joe-slack,65,141-speedway_unknown-year_gil-wagner_joe-slack_photo_001.jpg,141-speedway,unknown-year,gil-wagner,joe-slack,65,141-speedway_unknown-year_john-born_joe-slack_photo_001.jpg,141-speedway,unknown-year,john-born,joe-slack,141-speedway,unknown-year,butch-wondra,joe-slack,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_1008.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_1008.jpg,74,very_low,74,dells-motor-speedway_unknown-year_gary-benion_bob-schafer_photo_14085.jpg,dells-motor-speedway,unknown-year,gary-benion,bob-schafer,77,141-speedway_unknown-year_speedway-joe-slack-phot_joe-slack_photo_013.jpg,141-speedway,unknown-year,speedway-joe-slack-phot,joe-slack,77,columbus-151-speedway_unknown-year_pat-schauer_unknown-photographer_photo_001.jpg,columbus-151-speedway,unknown-year,pat-schauer,unknown-photographer,79,deer-creek-speedway_unknown-year_kevin-adams_missy-lushinsky_photo_001.jpg,deer-creek-speedway,unknown-year,kevin-adams,missy-lushinsky,80,141-speedway_2015_rm-van-pay_dave-panske_photo_001.jpg,141-speedway,2015,rm-van-pay,dave-panske,dells-motor-speedway,unknown-year,gary-benion,bob-schafer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10082.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10082.jpg,58,very_low,58,141-speedway_unknown-year_chris-price_unknown-photographer_photo_001.jpg,141-speedway,unknown-year,chris-price,unknown-photographer,62,141-speedway_unknown-year_jesse-fuller_joe-verdegan_post_001.jpg,141-speedway,unknown-year,jesse-fuller,joe-verdegan,67,dells-motor-speedway_1994_kevin-cywinski_dave-drews_photo_001.jpg,dells-motor-speedway,1994,kevin-cywinski,dave-drews,68,141-speedway_unknown-year_unknown_joe-slack_photo_006.jpg,141-speedway,unknown-year,unknown,joe-slack,68,dells-motor-speedway_unknown-year_rick-wateski_guy-walters_post_001.jpg,dells-motor-speedway,unknown-year,rick-wateski,guy-walters,141-speedway,unknown-year,chris-price,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10085.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10085.jpg,62,very_low,62,141-speedway_unknown-year_randy-tracy_unknown-photographer_photo_001.jpg,141-speedway,unknown-year,randy-tracy,unknown-photographer,64,141-speedway_unknown-year_willie-goeden_unknown-photographer_photo_001.jpg,141-speedway,unknown-year,willie-goeden,unknown-photographer,67,141-speedway_unknown-year_willie-goeden_joe-slack_photo_001.jpg,141-speedway,unknown-year,willie-goeden,joe-slack,70,141-speedway_unknown-year_unknown_joe-slack_photo_005.jpg,141-speedway,unknown-year,unknown,joe-slack,70,angell-park-speedway_unknown-year_rick-lemanski_dave-olson_photo_001.jpg,angell-park-speedway,unknown-year,rick-lemanski,dave-olson,141-speedway,unknown-year,randy-tracy,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10088.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10088.jpg,20,medium_visual_match,20,141-speedway_unknown-year_unknown-driver_joe-slack_photo_004.jpg,141-speedway,unknown-year,unknown-driver,joe-slack,78,141-speedway_unknown-year_unknown_joe-slack_photo_008.jpg,141-speedway,unknown-year,unknown,joe-slack,80,141-speedway_unknown-year_randy-rasmussen_joe-slack_photo_001.jpg,141-speedway,unknown-year,randy-rasmussen,joe-slack,81,beaver-dam-raceway_2025_logan-julien_derek-sabourin_photo_001.jpg,beaver-dam-raceway,2025,logan-julien,derek-sabourin,84,chilton-speedway_unknown-year_mike-melius_joe-verdegan_post_001.jpg,chilton-speedway,unknown-year,mike-melius,joe-verdegan,141-speedway,unknown-year,unknown-driver,joe-slack,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10089.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10089.jpg,60,very_low,60,141-speedway_unknown-year_checkered-flag_joe-slack_photo_001.jpg,141-speedway,unknown-year,checkered-flag,joe-slack,63,beaver-dam-raceway_1981_frank-firari_al-fortner_photo_001.jpg,beaver-dam-raceway,1981,frank-firari,al-fortner,64,141-speedway_unknown-year_randy-sippel_joe-slack_photo_001.jpg,141-speedway,unknown-year,randy-sippel,joe-slack,64,columbus-151-speedway_unknown-year_don-trapp_dennis-satorius_photo_001.jpg,columbus-151-speedway,unknown-year,don-trapp,dennis-satorius,65,141-speedway_unknown-year_larry-walter_joe-slack_photo_001.jpg,141-speedway,unknown-year,larry-walter,joe-slack,141-speedway,unknown-year,checkered-flag,joe-slack,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_1009.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_1009.jpg,89,very_low,89,capital-super-speedway_1983_ted-musgrave_al-fortner_photo_001 (2).jpg,capital-super-speedway,1983,ted-musgrave,al-fortner,91,columbus-151-speedway_1990_howard-hosley_bob-schafer_photo_13677.jpg,columbus-151-speedway,1990,howard-hosley,bob-schafer,93,amherst-speedway_2013_unknown-driver_joe-verdegan_photo_230.jpg,amherst-speedway,2013,unknown-driver,joe-verdegan,95,capital-super-speedway_unknown-year_unknown-driver_ron-thruman_post_001.jpg,capital-super-speedway,unknown-year,unknown-driver,ron-thruman,95,dells-motor-speedway_unknown-year_rick-wateski_father-grubba_photo_115.jpg,dells-motor-speedway,unknown-year,rick-wateski,father-grubba,capital-super-speedway,1983,ted-musgrave,al-fortner,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10090.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10090.jpg,57,very_low,57,141-speedway_unknown-year_russ-keberlein_joe-slack_photo_001.jpg,141-speedway,unknown-year,russ-keberlein,joe-slack,57,capital-super-speedway_unknown-year_paul-bessel_pat-heaney_post_001.jpg,capital-super-speedway,unknown-year,paul-bessel,pat-heaney,60,141-speedway_unknown-year_john-born_joe-slack_photo_001.jpg,141-speedway,unknown-year,john-born,joe-slack,62,141-speedway_unknown-year_bill-drumm_joe-verdegan_post_001.jpg,141-speedway,unknown-year,bill-drumm,joe-verdegan,63,141-speedway_unknown-year_al-goetsch_joe-slack_photo_001.jpg,141-speedway,unknown-year,al-goetsch,joe-slack,141-speedway,unknown-year,russ-keberlein,joe-slack,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10091.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10091.jpg,49,very_low,49,dells-motor-speedway_1987_tom-carlson_bob-schneider_photo_001.jpg,dells-motor-speedway,1987,tom-carlson,bob-schneider,55,141-speedway_unknown-year_al-goetsch_unknown-photographer_photo_001.jpg,141-speedway,unknown-year,al-goetsch,unknown-photographer,55,141-speedway_unknown-year_checkered-flag_joe-slack_photo_001.jpg,141-speedway,unknown-year,checkered-flag,joe-slack,59,adams-friendship-speedway_unknown-year_floyd-fairfield_unknown-photographer_photo_001.jpg,adams-friendship-speedway,unknown-year,floyd-fairfield,unknown-photographer,59,capital-super-speedway_unknown-year_paul-bessel_pat-heaney_post_001.jpg,capital-super-speedway,unknown-year,paul-bessel,pat-heaney,dells-motor-speedway,1987,tom-carlson,bob-schneider,,,,,,,
