unknown_file,unknown_file_name,best_score,best_confidence,match_1_score,match_1_file_name,match_1_track_slug,match_1_year,match_1_driver_slug,match_1_photographer_slug,match_2_score,match_2_file_name,match_2_track_slug,match_2_year,match_2_driver_slug,match_2_photographer_slug,match_3_score,match_3_file_name,match_3_track_slug,match_3_year,match_3_driver_slug,match_3_photographer_slug,match_4_score,match_4_file_name,match_4_track_slug,match_4_year,match_4_driver_slug,match_4_photographer_slug,match_5_score,match_5_file_name,match_5_track_slug,match_5_year,match_5_driver_slug,match_5_photographer_slug,suggested_track_slug,suggested_year,suggested_driver_slug,suggested_photographer_slug,review_action,final_track_slug,final_year,final_driver_slug,final_photographer_slug,final_file_name,notes
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10155.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10155.jpg,0.8529,medium,0.8529,capital-super-speedway_unknown-year_joe-shear_unknown-photographer_photo_001.jpg,capital-super-speedway,unknown-year,joe-shear,unknown-photographer,0.8396,brown-county-speedway_unknown-year_terry-anvelink_bob-bergeron_photo_001.jpg,brown-county-speedway,unknown-year,terry-anvelink,bob-bergeron,0.8328,141-speedway_1985_roy-powless_joe-slack_post_001.jpg,141-speedway,1985,roy-powless,joe-slack,0.8326,capital-super-speedway_1982_bobby-weiss_al-fortner_photo_001.jpg,capital-super-speedway,1982,bobby-weiss,al-fortner,0.8301,141-speedway_unknown-year_mark-vandenboogard_joe-slack_post_001.jpg,141-speedway,unknown-year,mark-vandenboogard,joe-slack,capital-super-speedway,unknown-year,joe-shear,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10157.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10157.jpg,0.8269,low_clue,0.8269,columbus-151-speedway_unknown-year_bob-dauterman_unknown-photographer_photo_001.jpg,columbus-151-speedway,unknown-year,bob-dauterman,unknown-photographer,0.8184,capital-super-speedway_Unknown-year_ken-lund_doug-schoebel_post_001.jpg,capital-super-speedway,Unknown-year,ken-lund,doug-schoebel,0.8178,dells-motor-speedway_unknown-year_joe-potter_unknown-photographer_photo_001.jpg,dells-motor-speedway,unknown-year,joe-potter,unknown-photographer,0.815,dells-motor-speedway_unknown-year_scott-ollerman_bob-schafer_photo_13670.jpg,dells-motor-speedway,unknown-year,scott-ollerman,bob-schafer,0.8127,dells-motor-speedway_unknown-year_chuck-green_bob-schafer_photo_002.jpg,dells-motor-speedway,unknown-year,chuck-green,bob-schafer,columbus-151-speedway,unknown-year,bob-dauterman,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10158.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10158.jpg,0.8199,low_clue,0.8199,capital-super-speedway_unknown-year_larry-detjens_unknown-photographer_photo_001 (2).jpg,capital-super-speedway,unknown-year,larry-detjens,unknown-photographer,0.814,columbus-151-speedway_1990_howard-hosley_bob-schafer_photo_13677.jpg,columbus-151-speedway,1990,howard-hosley,bob-schafer,0.8098,capital-super-speedway_unknown-year_don-collins_joe-slack_photo_001.jpg,capital-super-speedway,unknown-year,don-collins,joe-slack,0.8097,capital-super-speedway_unknown-year_brian-johnson-sr_pat-heaney_post_001.jpg,capital-super-speedway,unknown-year,brian-johnson-sr,pat-heaney,0.8017,141-speedway_unknown-year_pete-berken_joe-verdegan_post_001.jpg,141-speedway,unknown-year,pete-berken,joe-verdegan,capital-super-speedway,unknown-year,larry-detjens,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10159.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10159.jpg,0.7819,low_clue,0.7819,columbus-151-speedway_unknown-year_russ-lange_j&d_photo_001.jpg,columbus-151-speedway,unknown-year,russ-lange,j&d,0.7816,dells-motor-speedway_unknown-year_pat-heaney_pat-heaney_post_002.jpg,dells-motor-speedway,unknown-year,pat-heaney,pat-heaney,0.7771,columbus-151-speedway-wi_unknown-year_donna-unash_charlie-spry-post_001.jpg,columbus-151-speedway-wi,unknown-year,donna-unash,charlie-spry-post,0.7737,beaver-dam-raceway_unknown-year_unknown_michael-halbherr_post_003.jpg,beaver-dam-raceway,unknown-year,unknown,michael-halbherr,0.7718,dodge-county-fairgrounds_unknown-year_gary-fairbanks_chad-tessman_post_001.jpg,dodge-county-fairgrounds,unknown-year,gary-fairbanks,chad-tessman,columbus-151-speedway,unknown-year,russ-lange,j&d,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10160.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10160.jpg,0.8768,medium,0.8768,dells-motor-speedway_unknown-year_dick-forbush_bob-schafer_photo_14137.jpg,dells-motor-speedway,unknown-year,dick-forbush,bob-schafer,0.866,capital-super-speedway_unknown-year_larry-detjens_unknown-photographer_photo_001 (2).jpg,capital-super-speedway,unknown-year,larry-detjens,unknown-photographer,0.8631,dells-motor-speedway_unknown-year_doug-corcoran_bob-schafer_photo_316.jpg,dells-motor-speedway,unknown-year,doug-corcoran,bob-schafer,0.8605,dells-motor-speedway_1986_charlie-schwoch_unknown-photographer_photo_001.jpg,dells-motor-speedway,1986,charlie-schwoch,unknown-photographer,0.8586,dells-motor-speedway_unknown-year_jeff-gutknecht_bob-schafer_photo_070.jpg,dells-motor-speedway,unknown-year,jeff-gutknecht,bob-schafer,dells-motor-speedway,unknown-year,dick-forbush,bob-schafer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10161.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10161.jpg,0.8568,medium,0.8568,capital-super-speedway_unknown-year_butch-mierendorf_doug-schoebel_post_001.jpg,capital-super-speedway,unknown-year,butch-mierendorf,doug-schoebel,0.8483,capital-super-speedway_unknown-year_greg-holzhausen_joe-slack_post_001.jpg,capital-super-speedway,unknown-year,greg-holzhausen,joe-slack,0.8227,capital-super-speedway_unknown-year_mike-langsdorf_al-fortner_photo_001.jpg,capital-super-speedway,unknown-year,mike-langsdorf,al-fortner,0.8181,capital-super-speedway_1982_bobby-weiss_al-fortner_photo_001.jpg,capital-super-speedway,1982,bobby-weiss,al-fortner,0.8127,columbus-151-speedway_unknown-year_jim-zachow_dennis-satorius_photo_001.jpg,columbus-151-speedway,unknown-year,jim-zachow,dennis-satorius,capital-super-speedway,unknown-year,butch-mierendorf,doug-schoebel,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10162.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10162.jpg,0.849,medium,0.849,capital-super-speedway_1982_bobby-weiss_al-fortner_photo_001.jpg,capital-super-speedway,1982,bobby-weiss,al-fortner,0.8462,columbus-151-speedway_unknown-year_unknown-driver_unknown-photographer_photo_1292.jpg,columbus-151-speedway,unknown-year,unknown-driver,unknown-photographer,0.8359,elko-speedway_unknown-year_john-lemke_unknown-photographer_photo_001.jpg,elko-speedway,unknown-year,john-lemke,unknown-photographer,0.835,dells-motor-speedway_unknown-year_doug-corcoran_bob-schafer_photo_316.jpg,dells-motor-speedway,unknown-year,doug-corcoran,bob-schafer,0.8327,capital-super-speedway_unknown-year_butch-mierendorf_doug-schoebel_post_001.jpg,capital-super-speedway,unknown-year,butch-mierendorf,doug-schoebel,capital-super-speedway,1982,bobby-weiss,al-fortner,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10163.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10163.jpg,0.8389,low_clue,0.8389,cedar-lake-speedway_unknown-year_rick-egersdorf_unknown-photographer_photo_003.jpg,cedar-lake-speedway,unknown-year,rick-egersdorf,unknown-photographer,0.8257,cedar-lake-speedway_unknown-year_dan-olson_unknown-photographer_photo_001.jpg,cedar-lake-speedway,unknown-year,dan-olson,unknown-photographer,0.8191,cedar-lake-speedway_unknown-year_paul-gilberts_ryan-aho_post_093.jpg,cedar-lake-speedway,unknown-year,paul-gilberts,ryan-aho,0.8175,cedar-lake-speedwy_unknown-year_joel-cryderman_ryan-aho_post_092.jpg,cedar-lake-speedwy,unknown-year,joel-cryderman,ryan-aho,0.8163,dells-motor-speedway_1981_dick-trickle_doyce-eaton_photo_001.jpg,dells-motor-speedway,1981,dick-trickle,doyce-eaton,cedar-lake-speedway,unknown-year,rick-egersdorf,unknown-photographer,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10164.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10164.jpg,0.8684,medium,0.8684,141-speedway_1985_darrell-massart_joe-slack_post_001.jpg,141-speedway,1985,darrell-massart,joe-slack,0.8468,141-speedway_unknown-year_darrell-massart_joe-slack_photo_001.jpg,141-speedway,unknown-year,darrell-massart,joe-slack,0.8211,141-speedway_unknown-year_rod-wheeler_joe-slack_photo_003.jpg,141-speedway,unknown-year,rod-wheeler,joe-slack,0.8187,141-speedway_1985_roy-powless_joe-slack_post_001.jpg,141-speedway,1985,roy-powless,joe-slack,0.8181,dells-motor-speedway_unknown-year_jeff-gutknecht_bob-schafer_photo_070.jpg,dells-motor-speedway,unknown-year,jeff-gutknecht,bob-schafer,141-speedway,1985,darrell-massart,joe-slack,,,,,,,
C:\Users\schaf\Desktop\PHOTOS-UNKNOWN\unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10165.jpg,unknown-track_unknown-year_unknown-driver_unknown-photographer_photo_10165.jpg,0.8634,medium,0.8634,dells-motor-speedway_unknown-year_pat-heaney_pat-heaney_post_003.jpg,dells-motor-speedway,unknown-year,pat-heaney,pat-heaney,0.8527,capital-super-speedway_unknown-year_unknown-driver_unknown-photographer_photo_4814.jpg,capital-super-speedway,unknown-year,unknown-driver,unknown-photographer,0.8406,capital-super-speedway_unknown-year_scott-hansen_bob-elman_photo_001.jpg,capital-super-speedway,unknown-year,scott-hansen,bob-elman,0.8337,dells-motor-speedway_unknown-year_dick-forbush_bob-schafer_photo_14137.jpg,dells-motor-speedway,unknown-year,dick-forbush,bob-schafer,0.8298,capital-super-speedway_unknown-year_al-schill_unknown-photographer_photo_001.jpg,capital-super-speedway,unknown-year,al-schill,unknown-photographer,dells-motor-speedway,unknown-year,pat-heaney,pat-heaney,,,,,,,
