Race,Track,track,slug,track_id,Date,DriverName,,slug,driver_id,DriverStart,DriverFinish,DriverNum,DriverSponsor,DriverMake,DriverLaps,DriverLed,DriverStatus,DriverPts,,
1996 ARTGO USA Challenge,Bolivar Speedway,Bolivar Speedway,bolivar-speedway-mo,244,30-Aug-96,Archie Griffin,Archie Griffin,#N/A,#N/A,,13,,,,99,,,,,Bob McDonald
1996 Johnson Service Center 100,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,31-Aug-96,Archie Griffin,Archie Griffin,#N/A,#N/A,,26,,,,11,,,,,Bobby Menzie
1982 Firecracker 150 Race No. 1,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,4-Jul-82,Arnie Christian,Arnie Christian,#N/A,#N/A,,14,,,,,,,,,Bobby Weiss
1982 Firecracker 150 Race No. 2,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,4-Jul-82,Arnie Christian,Arnie Christian,#N/A,#N/A,,14,,,,,,,,,Bobby Weltmeyer
1984 Macomb Daily 100,Mount Clemens Speedway,Mount Clemens Speedway,mount-clemens-speedway-mi,237,21-Jun-84,Art Sommers,Art Sommers,#N/A,#N/A,,3,,,,100,,running,,,Boyes Sparkman
1985 Macomb Daily 100,Mount Clemens Speedway,Mount Clemens Speedway,mount-clemens-speedway-mi,237,20-Jun-85,Barry Shaxon,Barry Shaxon,#N/A,#N/A,,16,,,,40,,,,,Brad Campbell
1986 London Free Press 100,Delaware Speedway,Delaware Speedway,delaware-speedway-onT,240,13-Jun-86,Barry Shaxon,Barry Shaxon,#N/A,#N/A,,11,,,,98,,,,,Brad Gress
1982 Chicagoland Showdown Race No. 1,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,30-May-82,Bert Weltmeyer,Bert Weltmeyer,#N/A,#N/A,,10,,,,,,,,,Brian Johnson (MN)
1997 All-American 100,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway-wi,105,5-Jul-97,"Bill Skinner, Jr.",Bill Skinner,bill-skinner,1511,,9,,,,100,,running,,,Brian Ross (IN)
1987 London Free Press Canadian Challenge 100,Delaware Speedway,Delaware Speedway,delaware-speedway-onT,240,12-Jun-87,Bill Snowden,Bill Snowden,#N/A,#N/A,,17,,,,96,,,,,Bruce O'Dell
1986 London Free Press 100,Delaware Speedway,Delaware Speedway,delaware-speedway-onT,240,13-Jun-86,Bill Zardo,Bill Zardo,#N/A,#N/A,,20,,,,43,,,,,Bruce VanderLaan
1992 Pabst Light 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,23-Jul-92,Billy Deckman,Billy Deckman,#N/A,#N/A,,16,,,,,,,,,Bruce White (WI)
1994 ARTGO Western Swing Race No. 1,Lakeside Speedway,Lakeside Speedway,lakeside-speedway-ks,249,17-Jun-94,Billy Deckman,Billy Deckman,#N/A,#N/A,,16,,,,98,,,,,Bruce Yackey
1995 KC Colors World Cup 300,I-70 Motorsports Park,I-70 Motorsports Park,i70-motorsports-park-mo,243,1-Oct-95,Billy Deckman,Billy Deckman,#N/A,#N/A,,12,,,,292,,,,,Bryan Daniel
1989 Michigan Challenge Race No. 1,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,15-Jul-89,Billy Shotko,Billy Shotko,#N/A,#N/A,,19,,,,,,,,,Bryan Marcott
1989 Michigan Challenge Race No. 2,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,15-Jul-89,Billy Shotko,Billy Shotko,#N/A,#N/A,,22,,,,,,,,,Bud Kaye
1983 ARTGO Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,2-Aug-83,"Billy Sontag, Jr.","Billy Sontag, Jr.",#N/A,#N/A,,,,,,,,DNQ,,,Buddy Hall
1983 ARTGO Indiana Challenge,Baer Field Motorsports Park,Baer Field Motorsports Park,baer-field-motorsports-park-in,236,23-Aug-83,"Billy Sontag, Jr.","Billy Sontag, Jr.",#N/A,#N/A,,11,,,Firebird,97,,,,,Buddy Schrock
1983 ARTGO Fall Nationals Race No. 1,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,9-Oct-83,"Billy Sontag, Jr.","Billy Sontag, Jr.",#N/A,#N/A,,10,,,,,,,,,Burt Weitemeyer
1983 ARTGO Fall Nationals Race No. 2,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,9-Oct-83,"Billy Sontag, Jr.","Billy Sontag, Jr.",#N/A,#N/A,,12,,,,,,,,,Burt Weltmeyer
1983 ARTGO Fall Nationals Race No. 3,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,9-Oct-83,"Billy Sontag, Jr.","Billy Sontag, Jr.",#N/A,#N/A,,10,,,,,,,,,Carl Lund
1984 ARTGO Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,6-May-84,"Billy Sontag, Jr.","Billy Sontag, Jr.",#N/A,#N/A,,14,,,Pontiac,78,,,,,Carl Tammi
1984 Macomb Daily 100,Mount Clemens Speedway,Mount Clemens Speedway,mount-clemens-speedway-mi,237,21-Jun-84,"Billy Sontag, Jr.","Billy Sontag, Jr.",#N/A,#N/A,,11,,,,95,,,,,Chad Little (WA)
ARTGO:1977-03,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,18-Jun-77,Bob Carnes,Bob Carnes,#N/A,#N/A,,4,,,,,,,,,Chad Nolting
ARTGO:1977-05,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,18-Jun-77,Bob Carnes,Bob Carnes,#N/A,#N/A,,8,,,,,,,,,Charlie Schwoch
1988 WMUS/American Cancer Society Benefit,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,28-May-88,Bob Curry,Bob Curry,#N/A,#N/A,,20,,,,26,,,,,Chris Miles
1989 Grand Valley Marine 100,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway-mi,238,30-Jul-89,Bob Curry,Bob Curry,#N/A,#N/A,,7,,,,100,,running,,,Chuck Dunshee
1991 Mile High Challenge 150,Colorado National Speedway,Colorado National Speedway,colorado-national-speedway-co,247,16-Jul-91,Bob Fix,Bob Fix,#N/A,#N/A,,17,,,,89,,,,,Chuck Roumell
1981 Coca-Cola 100 Race No. 1,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,15-Aug-81,Bob Holley,Bob Holley,#N/A,#N/A,,,,,,,,DNQ,,,Cliff Pulley
1992 Say No To Drugs 100,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway-mi,238,31-Jul-92,Bob Holley,Bob Holley,#N/A,#N/A,,6,,,,100,,running,,,Coy Williams
1992 Glass City 100,Toledo Speedway,Toledo Speedway,toledo-speedway-oh,246,3-Oct-92,Bob Holley,Bob Holley,#N/A,#N/A,,25,,,,9,,,,,Craig Letourneau
1993 Michigan Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,29-May-93,Bob Holley,Bob Holley,#N/A,#N/A,,21,,,,69,,,,,Curt Showalter
1993 Fair Days 100,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,30-Jun-93,Bob Holley,Bob Holley,#N/A,#N/A,,22,,,,51,,,,,Dale Earnhardt
1993 Harding's Friendly Markets Say No To Drugs 100,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway-mi,238,23-Jul-93,Bob Holley,Bob Holley,#N/A,#N/A,,24,17,"Lane Automotive,Premarc,Olney Race Engines",Chevy,23,,,,,Dale Strasberg
1994 Michigan Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,28-May-94,Bob Holley,Bob Holley,#N/A,#N/A,,21,,,,58,,,,,Dale Valentyne
1994 Kalamazoo Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,22-Jul-94,Bob Holley,Bob Holley,#N/A,#N/A,,22,,,,84,,,,,Dan Gracyalny
1995 ARTGO Michigan Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,24-Jun-95,Bob Holley,Bob Holley,#N/A,#N/A,,21,,,,74,,,,,Dan Konieczny
1976 ARTGO Summer Classic Race No. 1,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,8-Aug-76,Bob Schippers,Bob Schippers,#N/A,#N/A,,10,,,,,,,,,Dan Konieczy
