Race,Track,track,slug,track_id,Date,DriverName,,slug,driver_id,DriverStart,DriverFinish,DriverNum,DriverSponsor,DriverMake,DriverLaps,DriverLed,DriverStatus,DriverPts,,
1989 Miller Hawkeye 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,6-Jun-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,11,,,,97,,,,,
1989 Chicagoland Showdown,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,17-Jun-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,10,,,,99,,,,,
1989 ARTGO Holiday Special Race No. 1,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,1-Jul-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,7,,,,,,,,,
1989 ARTGO Holiday Special Race No. 2,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,1-Jul-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,5,,,,,,,,,
1989 Minnesota State Championship,Elko Speedway,Elko Speedway,elko-speedway-mn,60,3-Jul-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,12,,,,100,,running,,,
1989 Michigan Challenge Race No. 1,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,15-Jul-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,10,,,,,,,,,
1989 Michigan Challenge Race No. 2,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,15-Jul-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,8,,,,,,,,,
1989 Grand Valley Marine 100,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway-mi,238,30-Jul-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,4,,,,100,,running,,,
1989 Miller High Life/TV-5 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,1-Aug-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,10,,,Grand Prix,249,0,,,,
1989 All-Star 100,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,15-Aug-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,15,,,,98,,,,,
1989 ARTGO Summer Nationals,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,2-Sep-89,Tom Carlson,Tom Carlson,tom-carlson,22545,,21,,,,16,,,,,
1990 ARTGO Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,8-Apr-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,2,,,,90,,running,,,
1990 Chicagoland Opener,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,28-Apr-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,3,,,,100,,running,,,
1990 WMUS Cancer Society Benefit,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,26-May-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,9,,,,100,,running,,,
1990 Miller Genuine Draft TV-5 Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,28-May-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,17,,,,122,,,,,
1990 Miller 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,6-Jun-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,3,,,,100,,running,,,
1990 Parts Plus Chicagoland Showdown,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,16-Jun-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,12,,,,83,,,,,
1990 Grand Opening 100,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway-wi,105,26-Jun-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,1,,,,100,,running,,,
1990 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,30-Jun-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,7,,,,100,,running,,,
1990 Budweiser 100 (ARTGO),Owosso Speedway,Owosso Speedway,owosso-speedway-mi,250,3-Jul-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,5,,,,100,,running,,,
1990 Parts Plus All-Star 100,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,24-Jul-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,12,,,,97,,,,,
1990 Say No To Drugs 100,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway-mi,238,3-Aug-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,2,,,,100,,running,,,
1990 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,7-Aug-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,24,,,,185,,,,,
1990 Coors 100 (August),Auto City Speedway,Auto City Speedway,auto-city-speedway-mi,239,11-Aug-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,9,,,,100,,running,,,
1990 ARTGO Summer Nationals,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,1-Sep-90,Tom Carlson,Tom Carlson,tom-carlson,22545,,24,,,,72,,,,,
1991 Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,7-Apr-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,6,51,,,150,,running,,,
1991 Cabin Fever 100,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,27-Apr-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,17,,,,51,,,,,
1991 Miller Genuine Draft Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-May-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,14,,,,124,,,,,
1991 Michigan Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,1-Jun-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,16,51,"B & B Engines,Carrera Shocks",Chevy,90,,,,,
1991 Hawkeye Miller Genuine Draft 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,8-Jun-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,8,,,,100,,,,,
1991 Chicagoland Showdown,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,15-Jun-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,3,,,,100,,,,,
1991 Miller Genuine Draft Light 100,LaCrosse Fairgrounds Speedway,LaCrosse Interstate Speedway,lacrosse-interstate-speedway-wi,100,19-Jun-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,2,,,,100,0,running,,,
1991 Lake Geneva 100,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway-wi,105,25-Jun-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,19,,,,41,,,,,
1991 Main Beverage/Budweiser 100,Owosso Speedway,Owosso Speedway,owosso-speedway-mi,250,3-Jul-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,2,,,,100,,running,,,
1991 ARTGO Summer Nationals,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,6-Jul-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,4,,,,100,,running,,,
1991 Coors Light 100,Lakeside Speedway,Lakeside Speedway,lakeside-speedway-ks,249,12-Jul-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,17,,,,88,,,,,
1991 Ozark Challenge 100,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,13-Jul-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,13,,,,92,,,,,
1991 Mile High Challenge 150,Colorado National Speedway,Colorado National Speedway,colorado-national-speedway-co,247,16-Jul-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,15,,,,104,,,,,
1991 All-Star 100,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,24-Jul-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,20,,,,22,,,,,
1991 Say No To Drugs 100,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway-mi,238,2-Aug-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,21,,,,37,,,,,
1991 ARTGO Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,6-Aug-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,14,,,,245,,,,,
1991 Midwest Championships,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,31-Aug-91,Tom Carlson,Tom Carlson,tom-carlson,22545,,6,,,,150,,running,,,
1992 Spring Classic 150,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,5-Apr-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,20,,,,146,,,,,
1992 Cabin Fever 100,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,25-Apr-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,22,,,,10,,,,,
1992 Badgerland 50,Milwaukee Mile,Milwaukee Mile,milwaukee-mile-wi,125,10-May-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,1,,,,50,,running,,,
1992 Spring Nationals 125,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,1,,,,125,,running,,,
1992 ARTGO 100,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,6-Jun-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,1,,,,100,,running,,,
1992 Chicagoland Showdown,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,13-Jun-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,2,,,,100,,running,,,
1992 Lake Geneva Doubleheader,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway-wi,105,23-Jun-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,4,,,,100,,running,,,
1992 Minnesota State Championships,Elko Speedway,Elko Speedway,elko-speedway-mn,60,3-Jul-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,1,,,,100,,running,,,
1992 ARTGO 50,Milwaukee Mile,Milwaukee Mile,milwaukee-mile-wi,125,19-Jul-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,6,,,,,,,,,
1992 Pabst Light 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,23-Jul-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,24,,,,,,,,,
1992 ARTGO Ozark Challenge,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,25-Jul-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,3,,,,100,,running,,,
1992 Say No To Drugs 100,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway-mi,238,31-Jul-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,15,,,,99,,,,,
1992 ARTGO All-Star 100,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,2-Aug-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,4,,,,,,,,,
1992 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,4-Aug-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,4,,,,,,,,,
1992 Glass City 100,Toledo Speedway,Toledo Speedway,toledo-speedway-oh,246,3-Oct-92,Tom Carlson,Tom Carlson,tom-carlson,22545,,18,,,,93,,,,,
1993 Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,4-Apr-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,7,,,,150,,,,,
ARTGO:1993-02,Milwaukee Mile,Milwaukee Mile,milwaukee-mile-wi,125,9-May-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,7,,,,50,,,,,
1993 Michigan Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,29-May-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,9,,,,100,,,,,
1993 Chicagoland Showdown,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,5-Jun-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,3,,,,100,,,,,
1993 Miller Genuine Draft 100 (ARTGO),Elko Speedway,Elko Speedway,elko-speedway-mn,60,25-Jun-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,9,,,,100,,,,,
1993 Upper Peninsula 100,Norway Speedway,Norway Speedway,norway-speedway-mi,141,26-Jun-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,5,,,,100,,,,,
1993 Fair Days 100,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,30-Jun-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,8,,,,100,,,,,
1993 Pabst Light 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,7-Jul-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,4,51,,,100,,,,,
1993 Ozark Challenge 100,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,10-Jul-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,9,,,,100,,,,,
1993 Harding's Friendly Markets Say No To Drugs 100,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway-mi,238,23-Jul-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,11,51,"B & B Engines,Lefthander Chassis",,100,,running,,,
1993 ARTGO Summer Nationals,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,24-Jul-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,4,,,,100,,,,,
1993 Badger World Classic 50,Milwaukee Mile,Milwaukee Mile,milwaukee-mile-wi,125,1-Aug-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,10,,,,50,,running,,,
1993 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,3-Aug-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,8,51,,,249,,,,,
1993 ARTGO Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,29-Aug-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,24,,,,61,,,,,
1993 Miller Tournament of Speed,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,18-Sep-93,Tom Carlson,Tom Carlson,tom-carlson,22545,,8,,,,50,,running,,,
1994 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,2-Aug-94,Tom Carlson,Tom Carlson,tom-carlson,22545,,26,,,,126,,,,,
1994 Minnesota Governor's Cup,"I-94 Speedway (Sauk Centre, MN)","I-94 Speedway (Sauk Centre, MN)",#N/A,#N/A,11-Sep-94,Tom Carlson,Tom Carlson,tom-carlson,22545,,21,,,,6,,,,,
1994 ARTGO Tournament of Speed,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,17-Sep-94,Tom Carlson,Tom Carlson,tom-carlson,22545,,10,,,,50,,running,,,
1995 Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,9-Apr-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,10,,,,146,,,,,
1995 Chicagoland Showdown,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,21-May-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,13,,,,99,,,,,
1995 ARTGO Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,29-May-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,8,,,,100,,running,,,
1995 Miller Hawkeye 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,6-Jun-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,14,,,,98,,,,,
1995 ARTGO Western Swing Country Mart 100,Lakeside Speedway,Lakeside Speedway,lakeside-speedway-ks,249,16-Jun-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,9,,,,100,,,,,
1995 ARTGO Western Swing Ozark Challenge 100,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,17-Jun-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,5,,,,100,,running,,,
1995 ARTGO Michigan Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,24-Jun-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,17,,,,98,,,,,
1995 LaCrosse Fairtime 100,LaCrosse Fairgrounds Speedway,LaCrosse Interstate Speedway,lacrosse-interstate-speedway-wi,100,12-Jul-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,7,,,,100,,running,,,
1995 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,22-Jul-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,9,,,,100,,,,,
1995 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,1-Aug-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,25,,,,216,,,,,
1995 ARTGO Western Swing USA Challenge 100,Bolivar Speedway,Bolivar Speedway,bolivar-speedway-mo,244,1-Sep-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,2,,,,100,,,,,
1995 ARTGO Western Swing Johnson Auto Center Summer Showdown,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,2-Sep-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,20,,,,74,,,,,
1995 ARTGO Western Swing Finale,Lakeside Speedway,Lakeside Speedway,lakeside-speedway-ks,249,3-Sep-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,1,,,,100,,,,,
1995 ARTGO Tournament of Speed,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,9-Sep-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,11,,,,100,,running,,,
1995 KC Colors World Cup 300,I-70 Motorsports Park,I-70 Motorsports Park,i70-motorsports-park-mo,243,1-Oct-95,Tom Carlson,Tom Carlson,tom-carlson,22545,,30,,,,39,,,,,
1996 Ozark Challenge 100,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,15-Jun-96,Tom Carlson,Tom Carlson,tom-carlson,22545,,18,,,,89,,,,,
1996 ARTGO Summer Nationals,Marshfield Motor Speedway,Marshfield Super Speedway,marshfield-super-speedway-wi,119,23-Jun-96,Tom Carlson,Tom Carlson,tom-carlson,22545,,6,,,,100,,running,,,
1996 Escape to Wisconsin 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,20-Jul-96,Tom Carlson,Tom Carlson,tom-carlson,22545,,5,,,,100,,,,,
1996 ARTGO Golden Sands 100,Golden Sands Speedway,Golden Sands Speedway,golden-sands-speedway-wi,69,19-Aug-96,Tom Carlson,Tom Carlson,tom-carlson,22545,,20,,,,99,,,,,
1996 ARTGO Tournament of Speed,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,7-Sep-96,Tom Carlson,Tom Carlson,tom-carlson,22545,,4,,,,100,,running,,,
1986 Newscenter 11 Miller Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-86,Tod Kropf,Tod Kropf,tod-kropf,22369,,17,,,,,,,,,
1986 Summer Nationals Race No. 4,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-Jul-86,Tod Kropf,Tod Kropf,tod-kropf,22369,,13,,,,,,,,,
1987 Opening Day 100,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,25-Apr-87,Tod Kropf,Tod Kropf,tod-kropf,22369,,19,,,,97,,,,,
1987 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,9-May-87,Tod Kropf,Tod Kropf,tod-kropf,22369,,19,,,,97,,,,,
1987 ARTGO Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-87,Tod Kropf,Tod Kropf,tod-kropf,22369,,21,,,,,,,,,
1987 ARTGO Summer Nationals,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,5-Sep-87,Tod Kropf,Tod Kropf,tod-kropf,22369,,9,,,,98,,,,,
1988 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,7-May-88,Tod Kropf,Tod Kropf,tod-kropf,22369,,11,,,,99,,,,,
1988 Miller High Life/TV-5 Spring Nationals Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,30-May-88,Tod Kropf,Tod Kropf,tod-kropf,22369,,13,,,,,,,,,
1988 Miller High Life/TV-5 Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,30-May-88,Tod Kropf,Tod Kropf,tod-kropf,22369,,14,,,,,,,,,
1988 Skoal Racing Classic,Milwaukee Mile,Milwaukee Mile,milwaukee-mile-wi,125,26-Jun-88,Tod Kropf,Tod Kropf,tod-kropf,22369,,21,,,,58,,,,,
1989 Chicagoland Opener,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,23-Apr-89,Tod Kropf,Tod Kropf,tod-kropf,22369,,13,,,,96,,,,,
1989 WMUS/American Cancer Society Benefit,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,27-May-89,Tod Kropf,Tod Kropf,tod-kropf,22369,,,,,,,,DNQ,,,
1989 Miller High Life/TV 5 Spring Nationals Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,29-May-89,Tod Kropf,Tod Kropf,tod-kropf,22369,,21,,,,16,2,,,,
1989 Miller Hawkeye 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,6-Jun-89,Tod Kropf,Tod Kropf,tod-kropf,22369,,12,,,,97,,,,,
1989 ARTGO Holiday Special Race No. 1,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,1-Jul-89,Tod Kropf,Tod Kropf,tod-kropf,22369,,16,,,,,,,,,
1989 ARTGO Holiday Special Race No. 2,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,1-Jul-89,Tod Kropf,Tod Kropf,tod-kropf,22369,,17,,,,,,,,,
1989 Minnesota State Championship,Elko Speedway,Elko Speedway,elko-speedway-mn,60,3-Jul-89,Tod Kropf,Tod Kropf,tod-kropf,22369,,16,,,,98,,,,,
1990 ARTGO Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,8-Apr-90,Tod Kropf,Tod Kropf,tod-kropf,22369,,21,,,,33,,,,,
1990 Grand Opening 100,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway-wi,105,26-Jun-90,Tod Kropf,Tod Kropf,tod-kropf,22369,,5,,,,100,,running,,,
1990 Budweiser 100 (ARTGO),Owosso Speedway,Owosso Speedway,owosso-speedway-mi,250,3-Jul-90,Tod Kropf,Tod Kropf,tod-kropf,22369,,20,,,,20,,,,,
1990 Parts Plus All-Star 100,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,24-Jul-90,Tod Kropf,Tod Kropf,tod-kropf,22369,,20,,,,23,,,,,
1991 Cabin Fever 100,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,27-Apr-91,Tod Kropf,Tod Kropf,tod-kropf,22369,,18,,,,50,,,,,
1991 Michigan Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,1-Jun-91,Tod Kropf,Tod Kropf,tod-kropf,22369,,14,,,,93,,,,,
1991 Hawkeye Miller Genuine Draft 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,8-Jun-91,Tod Kropf,Tod Kropf,tod-kropf,22369,,11,,,,99,,,,,
1991 Chicagoland Showdown,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,15-Jun-91,Tod Kropf,Tod Kropf,tod-kropf,22369,,17,,,,98,,,,,
1991 Miller Genuine Draft Light 100,LaCrosse Fairgrounds Speedway,LaCrosse Interstate Speedway,lacrosse-interstate-speedway-wi,100,19-Jun-91,Tod Kropf,Tod Kropf,tod-kropf,22369,,17,,,,96,0,,,,
1991 ARTGO Summer Nationals,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,6-Jul-91,Tod Kropf,Tod Kropf,tod-kropf,22369,,17,,,,98,,,,,
1991 Coors Light 100,Lakeside Speedway,Lakeside Speedway,lakeside-speedway-ks,249,12-Jul-91,Tod Kropf,Tod Kropf,tod-kropf,22369,,13,,,,100,,,,,
1991 Ozark Challenge 100,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,13-Jul-91,Tod Kropf,Tod Kropf,tod-kropf,22369,,23,,,,10,,,,,
1996 ARTGO Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-May-96,Tod Kropf,Tod Kropf,tod-kropf,22369,,16,,,,99,,,,,
1997 ARTGO Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,26-May-97,Tod Kropf,Tod Kropf,tod-kropf,22369,,23,,,,25,,,,,
1996 Escape to Wisconsin 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,20-Jul-96,Todd Zick,Todd Zick,todd-zick,22498,,21,,,,99,,,,,
1997 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,10-May-97,Todd Zick,Todd Zick,todd-zick,22498,26,13,19,Ho Chuck Casino,Chevy,98,,,,,
1997 Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,1-Jun-97,Todd Blair,Todd Blair,todd-blair,22380,,25,,,,51,,,,,
1989 WMUS/American Cancer Society Benefit,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,27-May-89,Tim Steele,Tim Steele,tim-steele,22297,,19,,,,64,0,mechanical,,,
1989 Michigan Challenge Race No. 1,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,15-Jul-89,Tim Steele,Tim Steele,tim-steele,22297,,6,,,,,,,,,
1989 Michigan Challenge Race No. 2,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,15-Jul-89,Tim Steele,Tim Steele,tim-steele,22297,,2,,,,,,,,,
1989 Grand Valley Marine 100,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway-mi,238,30-Jul-89,Tim Steele,Tim Steele,tim-steele,22297,,17,,,,85,,,,,
1989 Miller High Life/TV-5 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,1-Aug-89,Tim Steele,Tim Steele,tim-steele,22297,,27,85,HS Die & Engineering,Camaro,100,0,,,,
1990 WMUS Cancer Society Benefit,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,26-May-90,Tim Steele,Tim Steele,tim-steele,22297,,3,,,,100,,running,,,
1990 Miller Genuine Draft TV-5 Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,28-May-90,Tim Steele,Tim Steele,tim-steele,22297,,11,,,,124,,,,,
1990 Miller 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,6-Jun-90,Tim Steele,Tim Steele,tim-steele,22297,,13,,,,88,,,,,
1990 Grand Opening 100,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway-wi,105,26-Jun-90,Tim Steele,Tim Steele,tim-steele,22297,,20,,,,32,,,,,
1990 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,7-Aug-90,Tim Steele,Tim Steele,tim-steele,22297,,30,,,,57,,,,,
