issue,page,status,error
1959-07-29-issue-9,page_003.jpg,ocr created,
1959-07-29-issue-9,page_004.jpg,ocr created,
1959-07-29-issue-9,page_005.jpg,ocr created,
1959-07-29-issue-9,page_006.jpg,ocr created,
1959-07-29-issue-9,page_007.jpg,ocr created,"Image too small to scale!! (1x36 vs min width of 3)
Line cannot be recognized!!"
1959-07-29-issue-9,back_cover.jpg,ocr created,
1959-08-05-issue-10,front_cover.jpg,ocr created,
1959-08-05-issue-10,page_002.jpg,ocr created,
1959-08-05-issue-10,page_003.jpg,ocr created,
1959-08-05-issue-10,page_004.jpg,ocr created,
1959-08-05-issue-10,page_005.jpg,ocr created,
1959-08-05-issue-10,page_006.jpg,ocr created,
1959-08-05-issue-10,page_007.jpg,ocr created,
1959-08-05-issue-10,back_cover.jpg,ocr created,
1959-08-12-issue-11,front_cover.jpg,ocr created,
1959-08-12-issue-11,page_002.jpg,ocr created,
1959-08-12-issue-11,page_003.jpg,ocr created,
1959-08-12-issue-11,page_004.jpg,ocr created,
1959-08-12-issue-11,page_005.jpg,ocr created,
1959-08-12-issue-11,page_006.jpg,ocr created,
1959-08-12-issue-11,page_007.jpg,ocr created,"Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!"
1959-08-12-issue-11,page_008.jpg,ocr created,"Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!"
1959-08-12-issue-11,page_009.jpg,ocr created,
1959-08-12-issue-11,back_cover.jpg,ocr created,
1959-08-19-issue-12,front_cover.jpg,ocr created,
1959-08-19-issue-12,page_002.jpg,ocr created,
1959-08-19-issue-12,page_003.jpg,ocr created,
1959-08-19-issue-12,page_004.jpg,ocr created,
1959-08-19-issue-12,page_005.jpg,ocr created,
1959-08-19-issue-12,page_006.jpg,ocr created,
1959-08-19-issue-12,page_007.jpg,ocr created,
1959-08-19-issue-12,back_cover.jpg,ocr created,
1959-08-26-issue-13,front_cover.jpg,ocr created,
1959-08-26-issue-13,page_002.jpg,ocr created,
1959-08-26-issue-13,page_003.jpg,ocr created,"Image too small to scale!! (1x36 vs min width of 3)
Line cannot be recognized!!"
1959-08-26-issue-13,page_004.jpg,ocr created,
1959-08-26-issue-13,page_005.jpg,ocr created,
1959-08-26-issue-13,page_006.jpg,ocr created,
1959-08-26-issue-13,page_007.jpg,ocr created,
1959-08-26-issue-13,page_008.jpg,ocr created,
1959-08-26-issue-13,page_009.jpg,ocr created,
1959-08-26-issue-13,back_cover.jpg,ocr created,
1959-09-02-issue-14,front_cover.jpg,ocr created,
1959-09-02-issue-14,page_002.jpg,ocr created,
1959-09-02-issue-14,page_003.jpg,ocr created,
1959-09-02-issue-14,page_004.jpg,ocr created,
1959-09-02-issue-14,page_005.jpg,ocr created,
1959-09-02-issue-14,page_006.jpg,ocr created,
1959-09-02-issue-14,page_007.jpg,ocr created,"Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!"
1959-09-02-issue-14,back_cover.jpg,ocr created,
1959-09-09-issue-15,front_cover.jpg,ocr created,"Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!
Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!"
1959-09-09-issue-15,page_002.jpg,ocr created,
1959-09-09-issue-15,page_003.jpg,ocr created,
1959-09-09-issue-15,page_004.jpg,ocr created,
1959-09-09-issue-15,page_005.jpg,ocr created,
1959-09-09-issue-15,page_006.jpg,ocr created,
1959-09-09-issue-15,page_007.jpg,ocr created,
1959-09-09-issue-15,page_008.jpg,ocr created,
1959-09-09-issue-15,page_009.jpg,ocr created,
1959-09-09-issue-15,back_cover.jpg,ocr created,
1959-09-16-issue-16,front_cover.jpg,ocr created,
1959-09-16-issue-16,page_002.jpg,ocr created,
1959-09-16-issue-16,page_003.jpg,ocr created,
1959-09-16-issue-16,page_004.jpg,ocr created,
1959-09-16-issue-16,page_005.jpg,ocr created,
1959-09-16-issue-16,page_006.jpg,ocr created,
1959-09-16-issue-16,page_007.jpg,ocr created,"Image too small to scale!! (2x36 vs min width of 3)
Line cannot be recognized!!"
1959-09-16-issue-16,back_cover.jpg,ocr created,
