Seymour Speedway,7/17/2013,,,,,,,,,,,,
16,John Mahlberg,,,,,,,Jamie Suchocki,,,,,DNQ
17,Brandon Gagnon,,,,,,,,,,,,
18,David Hoerning,,,,,,,,,,,,
19,Kyle Frederick,,,,,,,,,,,,
20,Jeremy Kazynski,,,,,,,,,,,,
21,Scott Reinhardt,,,,,,,,,,,,
22,Mike Gilson,,,,,,,,,,,,
23,Rick Mahlberg,,,,,,,,,,,,
24,Rod Snellenberger,,,,,,,,,,,,
,,,,,,,,,,,,,
Luxemburg Speedway,9/13/2013,,,,,,,,,,,,
1,Dustin Loberger,,,,,,,Tyler Smith,,,,,DNQ
2,Troy Muench,,,,,,,Mike Weitor,,,,,DNQ
3,Scott Stewart,,,,,,,Jamie Becks,,,,,DNQ
4,Rod Snellenberger,,,,,,,Jeremy Jauquet,,,,,DNQ
5,John Heinz,,,,,,,Dave Fraser,,,,,DNQ
6,Justin Jacobson,,,,,,,Chris Lowenhagen,,,,,DNQ
7,Shawn Havel,,,,,,,Tyler Derenne,,,,,DNQ
8,Rob Waechter,,,,,,,Chris Malfroid,,,,,DNQ
9,Dan Michonski,,,,,,,Brandon Gagnon,,,,,DNQ
10,Barry Van Straten,,,,,,,Kevin Hebbe,,,,,DNQ
11,Mike Schmidt,,,,,,,Dave Bouche,,,,,DNQ
12,Billy Lemieux,,,,,,,Paul Barribeau,,,,,DNQ
13,Tom Brumlic,,,,,,,Kyle Frederick,,,,,DNQ
14,David Hoerning,,,,,,,Jamie Suchocki,,,,,DNQ
15,Dave DeGrave,,,,,,,Mark Schunemann,,,,,DNQ
16,Tony Bouche,,,,,,,Paul Holschuh,,,,,DNQ
17,Jeremy Wiitala,,,,,,,Rick Mahlberg,,,,,DNQ
18,Don Aregoni,,,,,,,Scott Reinhardt,,,,,DNQ
19,Bill Kelsey,,,,,,,,,,,,
20,Jerry Leary,,,,,,,,,,,,
21,Logan Rhode,,,,,,,,,,,,
22,John Mahlberg,,,,,,,,,,,,
23,Dylan Heilmann,,,,,,,,,,,,
24,Luke Lemmens,,,,,,,,,,,,
,,,,,,,,,,,,,
141 Speedway,10/6/2013,,,,,,,,,,,,
1,Kyle Frederick,,,,,,,Paul Holschuh,,,,,DNQ
2,Rod Snellenberger,,,,,,,Chris Lowenhagen,,,,,DNQ
3,Devin Snellenberger,,,,,,,Kevin Hebbe,,,,,DNQ
4,Troy Muench,,,,,,,David Hoerning,,,,,DNQ
5,Barry Van Straten,,,,,,,Luke Lemmens,,,,,DNQ
6,Dan Michonski,,,,,,,Jesse Peebles,,,,,DNQ
7,Scott Reinhardt,,,,,,,B.J. Giese,,,,,DNQ
8,Tyler Smith,,,,,,,Mike Brehmer,,,,,DNQ
9,John Adams,,,,,,,Michael Olsen,,,,,DNQ
10,Jamie Suchocki,,,,,,,Mike Pierrard,,,,,DNQ
11,Scott Stewart,,,,,,,Kurt Schwalbach,,,,,DNQ
12,Jerry Leary,,,,,,,Tony Bouche,,,,,DNQ
13,"Larry Karcz, Jr.",,,,,,,,,,,,
14,Justin Jacobson,,,,,,,,,,,,
15,Dustin Loberger,,,,,,,,,,,,
16,Mark Schunemann,,,,,,,,,,,,
17,John Heinz,,,,,,,,,,,,
18,Mike Schmidt,,,,,,,,,,,,
19,Wade Voegtline,,,,,,,,,,,,
20,Dave DeGrave,,,,,,,,,,,,
21,Billy Lemieux,,,,,,,,,,,,
22,Dave Fraser,,,,,,,,,,,,
23,Josh Mroczkowski,,,,,,,,,,,,
24,Todd Augustian,,,,,,,,,,,,
