track_id,track_name,slug
1,141 Speedway,141-speedway-wi
2,53 Speedway,53-speedway-wi
3,ABC Raceway,abc-raceway-wi
4,Adams Friendship Speedway,adams-friendship-speedway-wi
5,Adventure Mt Speedway,adventure-mt-speedway-mi
6,Amery Speedway,amery-speedway-wi
7,Amherst Speedway,amherst-speedway-wi
8,Angell Park Speedway,angell-park-speedway-wi
9,Antigo Fairgrounds,antigo-fairgrounds-wi
10,Antigo Speedway,antigo-speedway-wi
11,Apple Creek Speedway,apple-creek-speedway-wi
12,Appleton Fair,appleton-fair-wi
13,Appleton Speedway,appleton-speedway-wi
14,Ashland Speedway,ashland-speedway-wi
15,Austin Fairgrounds,austin-fairgrounds-mn
16,Baraboo Fairgrounds,baraboo-fairgrounds-wi
17,Beaver Dam Raceway,beaver-dam-raceway-wi
18,Bennett Raceway,bennett-raceway-wi
19,Berlin Speedway,berlin-speedway-wi
20,Black River Falls Fairgrounds,black-river-falls-fairgrounds-wi
21,Black River Falls Speedway,black-river-falls-speedway-wi
22,Blue Diamond Speedway (New Auburn),blue-diamond-speedway-new-auburn-wi
23,Blue Mound Speedway,blue-mound-speedway-wi
24,Boscobel Speedway,boscobel-speedway-wi
25,Bourn's Speedway,bourns-speedway-wi
26,Boyceville Speedway,boyceville-speedway-wi
27,Brown County Speedway,brown-county-speedway-wi
28,Brussels Speedway,brussels-speedway-wi
29,Burlington Speedway,burlington-speedway-wi
30,Cannon River Speedway,cannon-river-speedway-mn
31,Capital Super Speedway,capital-super-speedway-wi
32,Cedar Lake Arena,cedar-lake-arena-wi
33,Cedar Lake Speedway,cedar-lake-speedway-wi
34,Cedarburg Speedway,cedarburg-speedway-wi
35,Central State Speedway,central-state-speedway-wi
36,Chateau Speedway,chateau-speedway-mn
37,Chicago Amphitheater,chicago-amphitheater-il
38,Chilton Speedway,chilton-speedway-wi
39,Chippewa Falls Fairgrounds,chippewa-falls-fairgrounds-wi
40,Clintonville Speedway,clintonville-speedway-wi
41,Columbus 151 Speedway,columbus-151-speedway-wi
42,Crandon Speedway,crandon-speedway-wi
43,Crandon Speedway North,crandon-speedway-north-wi
44,Crowns Speedway,crowns-speedway-wi
221,Crystal Village Speedway,crystal-village-speedway-mn
45,D&M Park Falls Speedway,dandm-park-falls-speedway-wi
46,Dane County Fairgrounds,dane-county-fairgrounds-wi
47,Darlington Speedway,darlington-speedway-wi
48,Deer Creek Speedway,deer-creek-speedway-mn
49,Dells Motor Speedway,dells-motor-speedway-wi
50,Dodge County Fairgrounds,dodge-county-fairgrounds-wi
51,Dodge County Fairgrounds (in town),dodge-county-fairgrounds-in-town-wi
52,Door County Speedway,door-county-speedway-wi
224,Duluth Speedway,duluth-speedway-mn
53,Durand Speedway,durand-speedway-wi
54,Eagle River Park,eagle-river-park-wi
55,Eagle River Speedway,eagle-river-speedway-wi
56,Eagle Valley Speedway,eagle-valley-speedway-wi
57,Eau Claire Speedway,eau-claire-speedway-wi
58,Edgerton Legion Track,edgerton-legion-track-wi
59,Elkhorn Fairgrounds,elkhorn-fairgrounds-wi
60,Elko Speedway,elko-speedway-mn
61,Escanaba Speedway,escanaba-speedway-mi
62,Evansville Speedway,evansville-speedway-wi
223,Farmington Speedway,farmington-speedway-mn
63,Fond du Lac Fairgrounds,fond-du-lac-fairgrounds-wi
64,Fox Ridge Speedway,fox-ridge-speedway-wi
65,Franksville Speedway,franksville-speedway-wi
66,Freeport Speedway,freeport-speedway-il
67,French Island,french-island-wi
68,Galesville Speedway,galesville-speedway-wi
69,Golden Sands Speedway,golden-sands-speedway-wi
70,Golden Spike Speedway,golden-spike-speedway-mn
71,Grand Rapids Speedway,grand-rapids-speedway-mn
72,Granite City Speedway,granite-city-speedway-mn
73,Grant County Speedway,grant-county-speedway-wi
74,Gravity Park Speedway,gravity-park-speedway-wi
75,Griffith Park Speedway,griffith-park-speedway-wi
76,Grove Creek Speedway,grove-creek-speedway-mn
77,Grundy County Speedway,grundy-county-speedway-il
78,Hales Corners Speedway,hales-corners-speedway-wi
79,Hiawatha Speedway,hiawatha-speedway-mn
80,Hibbing Raceway,hibbing-raceway-mn
81,I-94 Speedway,i-94-speedway-mn
82,Ideal Race Track,ideal-race-track-wi
83,Illiana Speedway,illiana-speedway-in
84,Impact Speedway,impact-speedway-wi
85,Iron River Speedway,iron-river-speedway-wi
86,Ironwood Fairgrounds,ironwood-fairgrounds-mi
87,Janesville Fairgrounds,janesville-fairgrounds-wi
88,Jefferson Fairgrounds,jefferson-fairgrounds-wi
89,Jefferson Speedway,jefferson-speedway-wi
90,Johnson Speedway (Cameron),johnson-speedway-cameron-wi
91,Joliet Stadium,joliet-stadium-il
92,Kasson Speedway,kasson-speedway-mn
93,Kelly Speedway,kelly-speedway-wi
94,Kenosha Airport Speedway,kenosha-airport-speedway-wi
95,Kenosha County Fair,kenosha-county-fair-wi
96,Kenosha O'Mara Ballpark,kenosha-omara-ballpark-wi
227,Klein's Speedway,kleins-speedway-wi
97,Kopellah Speedway,kopellah-speedway-wi
222,Krause Speedway,krause-speedway-wi
98,La Crosse Interstate Fairgrounds,la-crosse-interstate-fairgrounds-wi
99,LaCrosse Fairgrounds,lacrosse-fairgrounds-wi
100,LaCrosse Interstate Speedway,lacrosse-interstate-speedway-wi
101,LaCrosse Logan High School,lacrosse-logan-high-school-wi
102,LaCrosse Speedway,lacrosse-speedway-wi
103,Ladysmith Fairgrounds,ladysmith-fairgrounds-wi
104,Ladysmith Speedway,ladysmith-speedway-wi
105,Lake Geneva Raceway,lake-geneva-raceway-wi
106,Lake Geneva Speedway,lake-geneva-speedway-wi
107,Lake Hallie Speedway,lake-hallie-speedway-wi
108,Langlade County Speedway,langlade-county-speedway-wi
109,Leo's Speedway/Winn Co Fair,leos-speedway-winn-co-fair-wi
110,Lodi Fairgrounds,lodi-fairgrounds-wi
