event_slug,series_event_id,season_id,race_number,track_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
2001-dick-trickle-99,,41,3,49,16,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
2001-dick-trickle-99,,41,3,49,17,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
2001-dick-trickle-99,,41,3,49,18,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
2001-dick-trickle-99,,41,3,49,19,,,22013,Terry Schoppenhorst,terry-schoppenhorst,,,,,,,feature,
2001-dick-trickle-99,,41,3,49,20,,,8715,Gary Back,gary-back,,,,,,,feature,
2001-dick-trickle-99,,41,3,49,21,,,14484,Kevin Peterson WI,kevin-peterson,,,,,,,feature,
2001-dick-trickle-99,,41,3,49,22,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
2002-spring-fling-75,,42,1,41,1,,,3355,Burton Brown,burton-brown,,,,,,,feature,
2002-spring-fling-75,,42,1,41,2,,,20819,Scott Patrick,scott-patrick,,,,,,,feature,
2002-spring-fling-75,,42,1,41,3,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2002-spring-fling-75,,42,1,41,4,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
2002-spring-fling-75,,42,1,41,5,,,8715,Gary Back,gary-back,,,,,,,feature,
2002-spring-fling-75,,42,1,41,6,,,7419,Don Turner,don-turner,,,,,,,feature,
2002-spring-fling-75,,42,1,41,7,,,516,Allen Check,allen-check,,,,,,,feature,
2002-spring-fling-75,,42,1,41,8,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
2002-spring-fling-75,,42,1,41,9,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
2002-spring-fling-75,,42,1,41,10,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
2002-spring-fling-75,,42,1,41,11,,,394,Al Weishoff,al-weishoff,,,,,,,feature,
2002-spring-fling-75,,42,1,41,12,,,null,Jon Hornby,jon-hornby,,,,,,,feature,
2002-spring-fling-75,,42,1,41,13,,,8809,Gary Junget,gerry-junget,,,,,,,feature,
2002-spring-fling-75,,42,1,41,14,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
2002-spring-fling-75,,42,1,41,15,,,5869,Dave Gawronski,dave-gawronski,,,,,,,feature,
2002-spring-fling-75,,42,1,41,16,,,18245,Pete Kempf,pete-kempf,,,,,,,feature,
2002-spring-fling-75,,42,1,41,17,,,8535,Frank Nitzke,frank-nitzke,,,,,,,feature,
2002-spring-fling-75,,42,1,41,18,,,16778,Mike Cusick,mike-cusick,,,,,,,feature,
2002-spring-fling-75,,42,1,41,19,,,2665,Brandon Selle,brandon-selle,,,,,,,feature,
2002-spring-fling-75,,42,1,41,20,,,15678,Luke Westenberg,luke-westenberg,,,,,,,feature,
2002-spring-fling-75,,42,1,41,21,,,9402,Greg Bowers,greg-bowers,,,,,,,feature,
2002-spring-fling-75,,42,1,41,22,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,1,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,2,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,3,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,4,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,5,,,8715,Gary Back,gary-back,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,6,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,7,,,516,Allen Check,allen-check,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,8,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,9,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,10,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,11,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,12,,,13668,Judd Brandl,judd-brandl,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,13,,,8535,Frank Nitzke,frank-nitzke,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,14,,,8381,"Eugene Gregorich, Jr.",eugene-gregorich-jr,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,15,,,3355,Burton Brown,burton-brown,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,16,,,13732,Justin Hirt,justin-hirt,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,17,,,18245,Pete Kempf,pete-kempf,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,18,,,23301,Troy Nelson,troy-nelson,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,19,,,2665,Brandon Selle,brandon-selle,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,20,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,21,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,22,,,19001,"Rich Schumann, Jr.",rich-schumann-jr,,,,,,,feature,
2002-ice-breaker-75,,42,2,69,23,,,5869,Dave Gawronski,dave-gawronski,,,,,,,feature,
2002-memorial-75,,42,3,119,1,,,8715,Gary Back,gary-back,,,,,,,feature,
2002-memorial-75,,42,3,119,2,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
2002-memorial-75,,42,3,119,3,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2002-memorial-75,,42,3,119,4,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
2002-memorial-75,,42,3,119,5,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
2002-memorial-75,,42,3,119,6,,,13890,Keith Bohmsach,keith-bohmsach,,,,,,,feature,
2002-memorial-75,,42,3,119,7,,,516,Allen Check,allen-check,,,,,,,feature,
2002-memorial-75,,42,3,119,8,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
2002-memorial-75,,42,3,119,9,,,13668,Judd Brandl,judd-brandl,,,,,,,feature,
2002-memorial-75,,42,3,119,10,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
2002-memorial-75,,42,3,119,11,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
2002-memorial-75,,42,3,119,12,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
2002-memorial-75,,42,3,119,13,,,6384,Dean Lapointe,dean-lapointe,,,,,,,feature,
2002-memorial-75,,42,3,119,14,,,8535,Frank Nitzke,frank-nitzke,,,,,,,feature,
2002-memorial-75,,42,3,119,15,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
2002-memorial-75,,42,3,119,16,,,8381,"Eugene Gregorich, Jr.",eugene-gregorich-jr,,,,,,,feature,
2002-memorial-75,,42,3,119,17,,,3355,Burton Brown,burton-brown,,,,,,,feature,
2002-memorial-75,,42,3,119,18,,,18245,Pete Kempf,pete-kempf,,,,,,,feature,
2002-memorial-75,,42,3,119,19,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
2002-memorial-75,,42,3,119,20,,,12161,"Jim Sauter, Jr.",jim-sauter-jr,,,,,,,feature,
2002-memorial-75,,42,3,119,21,,,13732,Justin Hirt,justin-hirt,,,,,,,feature,
2002-memorial-75,,42,3,119,22,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,1,,,20921,Scott Wimmer,scott-wimmer,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,2,,,23695,Wayne Cottrell,wayne-cottrell,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,3,,,15955,Mark Mackesy,mark-mackesy,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,4,,,4200,Chris Wimmer,chris-wimmer,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,5,,,516,Allen Check,allen-check,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,6,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,7,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,8,,,13732,Justin Hirt,justin-hirt,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,9,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
